K2Mo2O7,K2Mo2O7,assignment,AgI-Ag2O-MoO3 glasses,AgI-Ag2O-MoO3 glasses,AgI-Ag2O-MoO3 glasses,AgI-Ag2O-MoO3 glasses,AgI-Ag2O-MoO3 glasses,assignment,55 AgI,45 AgI
crystal,crystal,by Poloznikova,No. 3,No. 5,No. 6,No. 7,No. 8,,20Ag2O,25 Ag2O
this work,[20],[64],this work,,,,,,25 MoO3,30 MoO3
,,,,,,,,,[8],[8]
927,930,n MoO3(Tet),,,,,,,,
904,905,n MoO2(Oct),877,877,877,877,881,n 1 MoO4 2-,875,875
869,870,n MoO2(Tet),,,,,,,,
,,,787,783,785,796,800,n 3 MoO4 2-,790,785
,720,n Mo(Oct)-O-,,,,,,,,
,,Mo(Oct),,,,,,,,
702,705,n Mo(Oct)-O-,,,,695,700,,,
,,Mo(Oct),,600,602,614,615,,595,600
,570,n MoO2(Oct),,,458,458,460,,450,450
481,480,n MoO3(Oct),,,,,,,,
402,402,d MoO2(Oct),,,,,,,,
,375,d MoO3(Tet),338,350,356,362,365,n 4 MoO4 2-,355,346
362,362,d MoO3(Tet),,,,,,,,
319,321,d MoO3(Oct),,,,,,,,
,242,d MoO4(Oct),,,,,,,,
,220,d MoO3(Oct),,,,,,,,
