Nr.,Li2O,Na2O,K2O,MgO,CaO,TiO2,ZrO2,SiO2,n D,n F-n C,r
1,2.0,14.0,0.0,2.0,6.0,15.0,0.0,61.0,1.6036,0.01460,2.6614
2,1.0,10.0,4.0,6.0,2.0,15.0,0.0,62.0,1.6103,0.01476,2.7026
3,0.0,10.0,2.0,2.0,2.0,18.0,2.0,64.0,1.6223,0.01623,2.7068
4,2.0,13.0,5.0,1.0,8.0,16.0,1.0,54.0,1.6170,0.01523,2.7148
5,3.0,8.0,1.0,3.0,6.0,17.0,4.0,58.0,1.6343,0.01643,2.7364
6,3.0,11.0,2.0,0.0,4.0,22.0,1.0,57.0,1.6460,0.01815,2.7297
7,3.0,12.0,4.0,4.0,2.0,16.0,3.0,55.0,1.6170,0.01554,2.6960
8,1.0,9.0,5.0,0.0,4.0,21.0,3.0,57.0,1.6369,0.01774,2.7216
9,1.0,9.0,3.0,6.0,8.0,21.0,2.0,50.0,1.6637,0.01894,2.8161
10,0.0,15.0,3.0,1.0,3.0,20.0,4.0,54.0,1.6371,0.01779,2.7433
11,2.0,13.0,1.0,5.0,3.0,25.0,1.0,50.0,1.6696,0.02023,2.7827
12,0.0,16.0,3.0,5.0,7.0,19.0,3.0,47.0,1.6431,0.01839,2.8021
13,1.0,15.0,0.0,4.0,5.0,22.0,2.0,51.0,1.6537,0.01876,2.7853
14,0.0,11.0,2.0,1.0,7.0,23.0,0.0,56.0,1.6520,0.01814,2.7352
15,3.0,14.0,5.0,3.0,5.0,24.0,2.0,44.0,1.6634,0.01924,2.9263
