(a) Around the Bi sites,(a) Around the Bi sites,(a) Around the Bi sites,(a) Around the Bi sites,(a) Around the Bi sites,(a) Around the Bi sites,(a) Around the Bi sites,(a) Around the Bi sites,(a) Around the Bi sites
Bi(1)-,O(1),2.08x2,Bi(2)-,O(2),2.15x2,,,
,O(1),2.10x2,,O(2),2.32x2,,,
,O(2),2.12x2,,O(1),2.82x2,,,
,Bi(1),3.78x4,,O(1),2.97x2,,,
,Bi(2),3.76x2,,Bi(1),3.76x2,,,
,Bi(2),3.87x2,,Bi(1),3.86x2,,,
,Bi(2),3.99x2,,Bi(1),3.99x2,,,
,Bi(2),4.37x2,,Bi(1),4.36x2,,,
,,,,Bi(2),3.66x2,,,
,,,,Bi(2),3.91x2,,,
,,,,,,,,
(b) Around the O sites,(b) Around the O sites,(b) Around the O sites,(b) Around the O sites,(b) Around the O sites,(b) Around the O sites,(b) Around the O sites,(b) Around the O sites,(b) Around the O sites
O(1)-,Bi(1),2.10,O(2)-,Bi(1),2.08,,,
,Bi(1),2.13,,Bi(2),2.15,,,
,Bi(2),2.82,,Bi(2),2.32,,,
,Bi(2),2.96,,O(1),2.73,,,
,O(1),2.86x2,,O(1),2.93,,,
,O(2),2.73,,O(1),2.95x2,,,
,O(2),2.93,,O(2),2.57,,,
,O(2),2.95x2,,O(2),2.82,,,
,,,,O(2),2.91,,,
,,,,,,,,
(c) Around the vacant sites (V),(c) Around the vacant sites (V),(c) Around the vacant sites (V),(c) Around the vacant sites (V),(c) Around the vacant sites (V),(c) Around the vacant sites (V),(c) Around the vacant sites (V),(c) Around the vacant sites (V),(c) Around the vacant sites (V)
V(4a)-,Bi(2),1.95x2,V(4b)-,Bi(2),1.83x2,V(4d)-,Bi(1),2.56x2
,O(1),2.14x2,,O(2),1.28x2,,Bi(1),2.78x2
,O(2),2.45x2,,O(2),2.57x2,,Bi(2),2.98x2
,V(4a),2.78x2,,V(4b),2.78x2,,O(1),1.69x2
,,,,,,,O(1),2.46x2
,,,,,,,O(2),2.55x2
