SiO2 (wt%),61.10,60.50,60.40,60.20,59.90,55.79,55.79,55.79
Al2O3 (wt%),14.40,14.20,14.20,14.10,14.00,14.10,14.10,14.10
CaO (wt%),22.90,22.70,22.50,22.60,22.50,22.53,22.53,22.53
MgO (wt%),,,,,,0.45,0.45,0.45
TiO2 (wt%),0.50,0.50,0.50,0.50,0.50,0.60,0.60,0.60
B2O3 (wt%),,1.00,1.00,1.50,2.00,,1.00,1.00
MnO (wt%),,,,,,5.46,4.46,4.46
Fe2O3 (wt%),0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20
Na2O (wt%),0.90,0.90,0.90,0.90,0.90,0.80,0.80,
K2O (wt%),,,,,,0.07,0.07,
Li2O (wt%),,,,,,,,0.87
F (wt%),,0.10,0.20,,,,,
RO (CaO+MgO) (%),22.90,22.70,22.50,22.60,22.50,23.13,23.13,23.13
SiO2/RO ratio,2.67,2.67,2.68,2.66,2.66,2.43,2.43,2.43
Log3 Forming T (degC),1292,1278,1278,1277,1284,1222,1223,1193
Liquidus T (degC),1190,1163,1180,1172,1167,1196,1181,1168
Delta (D) T (degC),102,115,98,105,117,26,42,25
ASTM E-glass,+,+,+,+,+,+,+,+
