Samples,4I11/2,4I11/2,4F9/2,4F9/2,2H11/2,2H11/2,4F7/2,4F7/2
Samples,s a (x10-20 cm2),f exp (x10-6) +-10%,s a (x10-20 cm2),f exp (x10-6) +-10%,s a (x10-20 cm2),f exp (x10-6) +-10%,s a (x10-20 cm2),f exp (x10-6) +-10%
PB5,40.16,1.04,145.00,3.77,517.70,13.46,106.15,2.76
PB7,52.90,1.38,137.65,3.58,623.27,16.21,174.00,4.52
PB8,50.71,1.32,215.80,5.61,605.70,15.75,173.78,4.52
PB14,62.06,1.61,231.54,6.02,615.27,16.00,175.60,4.57
PB15,40.44,1.05,208.40,5.42,654.92,17.03,147.70,3.84
PB19,54.45,1.42,170.28,4.43,474.83,12.35,123.88,3.22
PB16,46.78,1.22,134.50,3.50,652.20,16.96,113.00,2.94
PB18,38.52,1.00,179.22,4.66,673.00,17.50,86.25,2.24
