Excited state,Barycenter (cm-1),P exp (106)+-0.05,P calc (106),
(a) FP20 glass,,,,
4I13/2,6599,2.11,1.57 ed,0.47 md
4I11/2,10 233,0.69,0.72,
4I9/2,12 457,0.33,0.34,
4F9/2,15 295,2.28,2.26,
4S3/2,18 380,0.59,0.60,
2H11/2,19 179,7.01,7.32,
4F7/2,20 499,2.04,2.35,
"4F5/2,4F3/2",22 288,0.87,1.16,
"(2G,4F,2H)9/2",24 579,0.73,0.89,
4G11/2,26 424,13.31,12.97,
"2K15/2,2G7/2,4G9/2",27 569,2.74,2.62 ed,0.06 md
,,,,
(b) CaZnBaP glass,,,,
4I13/2,6584,1.38,0.91 ed,0.48 md
4I11/2,10 218,0.46,0.48,
4I9/2,12 464,0.23,0.30,
4F9/2,15 296,1.49,1.64,
4S3/2,18 330,0.44,0.32,
2H11/2,19 178,8.40,8.68,
4F7/2,20 487,1.39,1.41,
"4F5/2,4F3/2",22 247,0.50,0.61,
"(2G,4F,2H)9/2",24 573,0.49,0.50,
4G11/2,26 420,15.66,15.38,
"2K15/2,2G7/2,4G9/2",27 563,2.75,1.97 ed,0.06 md
