Designation,K2O,Na2O,BaO,MgO,Al2O3,P2O5,Re2O3
Experimental glasses,Experimental glasses,Experimental glasses,Experimental glasses,Experimental glasses,Experimental glasses,Experimental glasses,Experimental glasses
KBAP,15,-,15,-,10,60,-
KMAP,15,-,-,15,10,60,-
KAP,30,-,-,-,10,60,-
NAP,-,30,-,-,10,60,-
BAP,-,-,30,-,10,60,-
MAP,-,-,-,30,10,60,-
,,,,,,,
Commercial glasses,Commercial glasses,Commercial glasses,Commercial glasses,Commercial glasses,Commercial glasses,Commercial glasses,Commercial glasses
LHG-8,15,-,12,-,10,58,2
LG-770,22,-,-,8,8,60,2
