No.,Electron dose (C/m2),Si (at.%),O (at.%),K (at.%),Ca (at.%)
Bulk,-,28.4,62.8,5.5,3.3
1,-,28.7,59.7,8.0,3.6
2,28.8,29.9,57.4,9.9,2.8
3,43.2,29.2,57.4,10.5,2.8
4,57.6,30.6,55.9,10.7,2.8
5,86.4,29.0,56.8,11.3,2.9
6,115.2,29.4,55.8,12.3,2.6
7,158.4,29.5,55.4,12.6,2.6
8,201.6,28.6,55.9,12.9,2.6
9,288.0,29.0,55.2,13.2,2.5
10,374.4,28.5,55.3,13.6,2.6
11,493.2,28.3,54.2,14.7,2.7
12,612.0,28.9,54.4,14.0,2.7
13,730.8,28.6,54.0,14.8,2.6
14,849.6,29.5,52.8,15.1,2.6
15,1087.2,28.7,53.7,14.6,2.9
16,1324.8,28.3,54.3,14.5,2.9
17,2948.4,27.3,56.2,12.8,3.7
18,5179.2,27.9,55.8,11.6,4.8
