"[MgO], mol%","[CaO], mol%","[Al2O3], mol%","D (1600 degC), cm2 s-1","D (1300 degC), cm2 s-1","E D, kJmol-1",Ref.
0,15,5,2.14x10-6,1.35x10-7,248,[8]
0,15,10,3.47x10-6,1.74x10-7,269,[8]
0,15,15,3.39x10-6,1.51x10-7,278,[8]
0,15,20,4.79x10-6,2.24x10-7,284,[8]
0,15,25,8.13x10-6,2.57x10-7,281,[8]
5,10,0,2.58x10-6,1.82x10  a,217,#
5,10,5,2.19x10-6,1.48x10-7,220,#
5,10,10,3.09x10-6,1.74x10-7,235,#
5,10,15,3.98x10-6,2.19x10-7,237,#
10,5,0,1.52x10-6,0.61x10  a,276,#
10,5,5,2.39x10-6,1.19x10-7,244,#
10,5,7.5,2.63x10-6,1.48x10-7,249,#
10,5,10,3.55x10-6,1.70x10-7,257,#
10,5,15,4.68x10-6,2.24x10-7,260,#
15,0,0,1.78x10-6,1.82x10  a,257,[10]
15,0,5,2.57x10-6,1.35x10-7,231,[10]
15,0,10,3.16x10-6,1.66x10-7,227,[10]
15,0,15,4.17x10-6,2.14x10-7,230,[10]
15,0,20,5.75x10-6,1.66x10-7,279,[10]
