,,SiO2,Al2O3,CaO,NBO/T,CaOexcess
Eutectic series,CAS1,64.9,9.3,25.8,0.40,8.0
Eutectic series,CAS2,59.9,10.0,30.1,0.50,10.5
Eutectic series,CAS3,54.7,10.9,34.4,0.62,13.0
Eutectic series,CAS4,49.6,11.7,38.7,0.74,16.6
Eutectic series,CAS5,44.4,12.5,43.1,0.88,18.0
,,,,,,
Non-eutectic series,CAS6,61.6,14.9,23.4,0.17,16.6
Non-eutectic series,CAS7,57.8,15.8,26.3,0.23,20.0
Non-eutectic series,CAS8,51.9,16.8,31.3,0.30,23.5
Non-eutectic series,CAS9,48.1,18.9,33.0,0.37,27.1
Non-eutectic series,CAS10,42.7,19.3,38.0,0.44,30.6
