Binary systems,Binary systems,Binary systems,Binary systems,Binary systems,Binary systems,Ternary systems,Ternary systems,Ternary systems,Ternary systems
Ag2S+B2S3,Ag2S+B2S3,Ag2S+GeS2 [11],Ag2S+GeS2 [11],B2S3 +GeS2,B2S3 +GeS2,Ag2S+B2S3 +GeS2,Ag2S+B2S3 +GeS2,Ag2S+B2S3 +GeS2,Ag2S+B2S3 +GeS2
Ag2S+B2S3,Ag2S+B2S3,Ag2S+GeS2 [11],Ag2S+GeS2 [11],B2S3 +GeS2,B2S3 +GeS2,B2S3/GeS2=2,B2S3/GeS2=2,B2S3/GeS2=1,B2S3/GeS2=1
R,IR,R,IR,R,IR,R,IR,R,IR
Frequency shift (cm -1  ),Frequency shift (cm -1  ),Frequency shift (cm -1  ),Frequency shift (cm -1  ),Frequency shift (cm -1  ),Frequency shift (cm -1  ),Frequency shift (cm -1  ),Frequency shift (cm -1  ),Frequency shift (cm -1  ),Frequency shift (cm -1  )
,,,110,,,118,111,118,109
,,150,150,150,156,,,,
219,,230,225,,,220,215,220,220
,,265,270,,,260,260,260,260
,,332,,352,334,333,,333,
,,370,365,372,380,360,368,360,370
400,,400,400,,,400,390,400,393
439,,,,439,426,430,,,
479,,,,472,,,,,
698,687,,,,,700,684,700,685
726,723,,,,,730,724,730,725
800,795,,,,780/800/820,,,,
,832,,,,,,,,
,,,,,,,868,,870
,,,,,900,,,,
,,,,,970,,,,
