Transition,l (nm),n (cm-1),P exp (10-6),P cal (10-6)
4I15/2 - 4I13/2,1533,6523,1.86,1.27 (P ed)
4I15/2 - 4I13/2,1533,6523,1.86,0.49 (P md)
- 4I11/2,978,10225,0.63,0.60
- 4I9/2,799,12516,0.52,0.57
- 4F9/2,651,15361,2.24,2.86
- 4S3/2,544,18382,0.64,0.44
- 2H11/2,521,19194,10.01,10.21
- 4F7/2,488,20492,1.81,2.14
"- 4F5/2, 4F3/2",451,22173,0.71,0.83
- 2H9/2,407,24570,0.74,0.71
- 4G11/2,378,26455,18.20,18.09
- 4G9/2,365,27397,2.92,2.05
O 2 =6.08x10-20 cm2; O 4 =2.65x10-20 cm2; O 6 =1.11x10-20 cm2,,,,
rms=4.1x10-7,,,,
