Glass,[V/(V+Fe)],P2O5,P2O5,V2O5,V2O5,Fe2O3,Fe2O3
Glass,Target,Target,Actual,Target,Actual,Target,Actual
PV,1.00,50.00,47.63,50.00,52.37,0.00,Trace
PVF-1,0.90,50.00,46.66,45.00,47.86,5.00,5.49
PVF-2,0.80,50.00,44.68,40.00,44.19,10.00,11.13
PVF-3,0.60,50.00,46.56,35.00,30.08,15.00,23.36
PVF-4,0.50,50.00,47.30,25.00,26.51,25.00,26.19
PVF-5,0.40,50.00,46.26,20.00,21.43,30.00,32.31
PVF-6,0.20,50.00,47.01,10.00,11.32,40.00,41.67
PVF-7,0.10,50.00,47.00,5.00,5.60,45.00,47.41
PF,0.00,50.00,47.36,0.00,Trace,50.00,52.64
