Melting temperature (degC),Fe-site,<CS>  (mm/s),<QS>  (mm/s),s QSD (mm/s),<e>  (mm/s),<B hf>  (T),s HFD (T)
12:88,Fe2+ doublet,1.13,2.26,0.55,-,-,-
,Fe3+ doublet,0.37,0.64,0.37,-,-,-
,Fe3+ sextet,0.43,-,-,-0.022,39.21,17.42
,,,,,,,
24:76,Fe2+ doublet,1.15,2.22,0.57,-,-,-
,Fe3+ doublet,0.39,0.64,0.37,-,-,-
,Fe3+ sextet,0.43,-,-,0.07,45.28,11.13
,,,,,,,
36:64,Fe2+ doublet,1.5,3.05,0.8,-,-,-
,Fe3+ doublet,0.37,0.64,0.37,-,-,-
,Fe3+ sextet,0.48,-,-,0.09,70.81,3.36
,,,,,,,
50:50,Fe2+ doublet,1.15,2.23,0.54,-,-,-
,Fe3+ doublet,0.37,0.64,0.37,-,-,-
