,CFS,Density (g/cm3),Density (g/cm3),Micro-hardness (GPa),Micro-hardness (GPa),Si/Al ratio,Si/Al ratio
Composition D,Composition D,Composition D,Composition D,Composition D,Composition D,Composition D,Composition D
Y,3.70,3.6,,10.3,10.0,0.39,3.5
La,2.72,4.0,,8.9,,0.32,
Nd,3.12,4.3,4.5,8.7,8.6,0.32,3.5
Sm,3.26,,4.6,9.1,9.2,0.32,3.5
Er,3.79,4.9,5.0,9.9,11.0,0.32,3.5
Yb,,4.8,,13.5,,0.32,
e/o N,,6,17,6,17,6,17
,,,,,,,
Composition E,Composition E,Composition E,Composition E,Composition E,Composition E,Composition E,Composition E
Y,3.70,3.7,,10.9,,0.42,
e/o N,,16,,,,16,
,,,,,,,
Source,CRC [18],Present,[4],Present,[4],Present,[4]
