Glass,Na2O,Network modifiers,Network modifiers,Fe2O3,Network formers,Network formers,V2O5,SO3,Other oxides
STEF3,15.68,CaO,11.96,1.81,Al2O3,6.59,11.10,1.87,0.19
,,Li2O,0.00,,B2O3,6.00,,,
,,K2O,0.32,,SiO2,43.35,,,
,,MgO,0.04,,,,,,
,,,,,,,,,
STEF3S0,14.14,CaO,12.51,2.14,Al2O3,6.84,11.85,0.06,0.21
,,Li2O,0.00,,B2O3,6.00,,,
,,K2O,0.52,,SiO2,45.43,,,
,,MgO,0.02,,,,,,
,,,,,,,,,
LAWBNaV,19.73,CaO,0.07,3.79,Al2O3,6.83,5.83,1.16,4.36
,,Li2O,2.87,,B2O3,11.03,,,
,,K2O,0.01,,SiO2,46.03,,,
,,MgO,0.05,,,,,,
,,,,,,,,,
LAWBNaVS0,20.60,CaO,0.04,4.85,Al2O3,6.05,5.77,0.05,5.15
,,Li2O,2.87,,B2O3,11.39,,,
,,K2O,0.02,,SiO2,45.92,,,
,,MgO,0.05,,,,,,
,,,,,,,,,
LAWB42,7.79,CaO,0.07,6.05,Al2O3,6.07,4.28,0.61,7.30
,,Li2O,2.87,,B2O3,11.92,,,
,,K2O,0.31,,SiO2,46.23,,,
,,MgO,2.87,,,,,,
,,,,,,,,,
LAWNa1,11.79,CaO,0.07,5.05,Al2O3,6.07,4.28,0.72,7.30
,,Li2O,2.87,,B2O3,9.92,,,
,,K2O,0.31,,SiO2,46.23,,,
,,MgO,2.87,,,,,,
,,,,,,,,,
LAWNa2,15.79,CaO,0.07,4.05,Al2O3,6.07,4.28,0.75,7.30
,,Li2O,2.87,,B2O3,7.92,,,
,,K2O,0.31,,SiO2,46.23,,,
,,MgO,2.87,,,,,,
,,,,,,,,,
LAWNa3,19.79,CaO,0.07,3.05,Al2O3,6.07,4.28,0.97,7.30
,,Li2O,2.87,,B2O3,5.92,,,
,,K2O,0.31,,SiO2,46.23,,,
,,MgO,2.87,,,,,,
,,,,,,,,,
LAWNa4,23.79,CaO,0.07,2.05,Al2O3,6.07,4.28,0.97,7.30
,,Li2O,2.87,,B2O3,3.92,,,
,,K2O,0.31,,SiO2,46.23,,,
,,MgO,2.87,,,,,,
,,,,,,,,,
LAWB39,7.52,CaO,4.46,4.87,Al2O3,6.01,3.39,0.77,6.10
,,Li2O,2.87,,B2O3,11.63,,,
,,K2O,0.35,,SiO2,46.70,,,
,,MgO,2.55,,,,,,
,,,,,,,,,
LAWB39S0,7.16,CaO,4.25,4.63,Al2O3,5.62,3.35,0.04,6.27
,,Li2O,2.63,,B2O3,11.71,,,
,,K2O,0.34,,SiO2,47.71,,,
,,MgO,2.64,,,,,,
,,,,,,,,,
LAWC14,18.14,CaO,5.30,3.54,Al2O3,6.48,5.50,0.33,7.98
,,Li2O,0.05,,B2O3,5.83,,,
,,K2O,0.26,,SiO2,40.32,,,
,,MgO,1.60,,,,,,
,,,,,,,,,
LAWC13,16.79,CaO,5.29,3.40,Al2O3,6.02,2.98,0.18,7.98
,,Li2O,0.08,,B2O3,6.26,,,
,,K2O,0.27,,SiO2,41.24,,,
,,MgO,1.54,,,,,,P2O5 2.97
,,,,,,,,,
LAWB36S,7.90,CaO,4.03,5.15,Al2O3,6.16,2.69,0.84,6.27
,,Li2O,3.85,,B2O3,12.09,,,
,,K2O,0.32,,SiO2,43.33,,,
,,MgO,2.24,,,,,,P2O5 4.74
