% S (at.%),% xs S,<r>,l vis (nm) +-2,T s (degC),a (ppm degC) +-0.1,r (g/cm3) +-0.001,V mol (cm3/mol) +-0.01
73.75,40.5,2.450,512,354,26.9,2.637,15.63
70.83,21.4,2.500,512,388,21.2,2.647,15.96
66.67,0.0,2.571,508,458,16.3,2.722,16.06
65.85,-3.6,2.585,512,463,15.9,2.731,16.11
65.00,-7.1,2.600,517,479,16.4,,
64.10,-10.7,2.615,521,473,17.6,2.760,16.16
63.64,-12.5,2.623,520,484,18.2,2.763,16.20
63.40,-13.4,2.628,520,498,17.1,2.764,16.23
63.16,-14.3,2.632,521,502,17.5,2.765,16.25
62.91,-15.2,2.636,521,499,17.3,2.764,16.29
59.17,-27.6,2.700,565,510,14.5,2.866,16.16
56.25,-35.7,2.750,601,513,12.5,2.958,16.01
