,Jarosite waste,Granite-scraps,Glass cullet,G1,G2
SiO2,3.7+-0.05,70.2+-0.21,72.5+-0.23,52.9+-0.19,53.8+-0.21
Al2O3,0.3+-0.04,12.1+-0.31,0.5+-0.04,4.1+-0.11,3.7+-0.09
Fe2O3,49.3+-0.04,1.6+-0.01,0.1+-0.01,24.1+-0.03,21.7+-0.03
CaO,0.1+-0.01,5.2+-0.06,8.7+-0.11,5.2+-0.09,8.7+-0.10
MgO,0.2+-0.06,0.6+-0.10,4.0+-0.31,1.8+-0.22,0.2+-0.05
ZnO,5.6+-0.04,-,-,2.7+-0.09,2.4+-0.08
PbO,3.6+-0.02,-,-,1.7+-0.01,1.5+-0.01
Na2O,-,2.9+-0.27,13.4+-0.61,6.4+-0.45,6.9+-0.43
K2O,-,3.3+-0.07,0.2+-0.01,1.1+-0.05,1.0+-0.05
L.O.I.,37.2+-0.43,4.1+-0.34,-,-,-
