Samples,Optical aspect,L *,a *,b *
RO-PG,None,96.51+-0.02,-0.04+-0.02,0.15+-0.02
YO-PG,None,96.31+-0.02,-0.02+-0.02,0.14+-0.02
I1-PG,Yellow,93.64+-0.31,-5.50+-0.17,24.95+-0.59
I2-PG,Yellow,94.11+-0.67,-6.70+-0.40,31.32+-2.85
I3-PG,Pale yellow,95.08+-0.65,-0.13+-0.41,1.49+-0.95
I4-PG,None,95.32+-0.25,-0.06+-0.42,0.42+-0.65
M-PG,Light yellow,95.17+-0.50,-2.90+-0.23,11.90+-0.45
K1-PG,Yellow,73.17+-0.68,13.25+-0.74,81.50+-1.90
K2-PG,Amber,91.52+-0.91,-4.22+-0.79,35.96+-0.63
G,None,97.61+-0.02,-0.06+-0.02,0.25+-0.02
