,4I11/2,4I11/2,4F9/2,4F9/2,2H11/2,2H11/2,4F7/2,4F7/2
Sample,Ssa(cm-1) (+-5x10-20 cm2),fexp(10-6),Ssa(cm-1) (+-5x10-20 cm2),fexp(10-6),Ssa(cm-1) (+-5x10-20 cm2),fexp(10-6),Ssa(cm-1) (+-5x10-20 cm2),fexp(10-6)
S1,13.40,0.35,46.70,1.22,638,13.99,-,-
S2,9.70,0.25,47.40,1.23,382,9.93,-,-
S3,12.90,0.34,54.10,1.41,441,11.46,-,-
S4,16.80,0.44,50.60,1.32,435,11.30,-,-
S5,-,-,87.10,2.26,576,14.98,52.90,1.38
S6,-,-,64.60,1.68,418,10.87,45.70,1.19
S7,-,-,85.40,2.22,548,14.25,67.00,1.74
S8,-,-,28.33,0.72,242,6.29,28.50,0.74
S9,-,-,72.06,1.87,490,12.74,51.30,1.33
S10,-,-,57.30,1.49,557,14.49,43.20,1.12
