[Nd2O3] (wt%),t(ms),t(ms),A (s-1),A (s-1),A (s-1),A (s-1),b,b,b,b,e calc. (1076 nm) (%),s(10-20)  4 I 11/2
[Nd2O3] (wt%),Calc.,Exp.,4 I 9/2,4 I 11/2,4 I 13/2,4 I 15/2,4 I 9/2,4 I 11/2,4 I 13/2,4 I 15/2,e calc. (1076 nm) (%),s(10-20)  4 I 11/2
0.5,320,320,1114,1706,305,13,0.36,0.54,0.09,0.006,95+-6.6,2.08
1.0,323,300,1083,1765,307,13,0.34,0.56,0.09,0.006,93+-6.5,2.19
1.5,312,282,1156,1726,296,12,0.39,0.52,0.08,0.005,90+-6.3,2.13
2.0,309,260,1192,1769,304,12,0.42,0.49,0.08,0.005,84+-5.9,2.21
2.5,311,242,1138,1750,302,12,0.35,0.55,0.09,0.006,78+-4.7,2.17
3.0,313,215,1152,1730,298,12,0.32,0.57,0.10,0.006,69+-4.1,2.15
3.5,313,190,1072,1784,312,13,0.33,0.56,0.09,0.006,60+-3.6,2.27
4.0,312,170,1186,1703,290,12,0.33,0.57,0.10,0.006,54+-2.7,2.06
4.5,315,153,1120,1734,299,12,0.34,0.56,0.09,0.006,48+-2.4,2.05
5.0,312,137,1080,1792,313,13,0.34,0.56,0.10,0.006,45+-2.3,2.33
