Glass series,Composition (mol%),Composition (mol%),Composition (mol%),Composition (mol%),Cl content (at.%),Cl content (at.%),Xc (mol%),Xccl (mol%),NBO/O (%) of base glass
Glass series,CaO,Al2O3,SiO2,CaCl2,Batch,Analysis,Xc (mol%),Xccl (mol%),NBO/O (%) of base glass
S40A6-1,54,6,40,0,,,16,,63.2
S40A6-2,49,6,40,5,,,,11,
S40A6-3,44,6,40,10,,,,6,
S40A6-4,38,6,40,16,,,,,
S44A6-1,50,6,44,0,0.0,0.0,14,,56.4
S44A6-2,45,6,44,5,3.7,3.7,,9,
S44A6-3,40,6,44,10,7.4,6.9,,4,
S44A6-4,36,6,44,14,10.1,10.6,,,
S46A8-1,46,8,46,0,0.0,0.0,12,,46.9
S46A8-2,41,8,46,5,3.7,3.3,,7,
S46A8-3,36,8,46,10,7.2,6.5,,2,
S46A8-4,34,8,46,12,8.6,9.8,,,
S45A12-1,43,12,45,0,0.0,0.0,8,,36.7
S45A12-2,40,12,45,3,2.1,2.1,,5,
S45A12-3,38,12,45,5,3.5,3.7,,3,
S45A12-4,36,12,45,7,4.9,4.7,,1,
S45A12-5,35,12,45,8,5.5,5.5,,,
S45A12-6,34,12,45,9,6.2,4.8,Salt layer separation was occurred,Salt layer separation was occurred,Salt layer separation was occurred
S56A8-1,36,8,56,0,0.0,0.0,7,,32.6
S56A8-2,32,8,56,4,2.8,2.6,,3,
S56A8-3,29,8,56,7,4.9,4.3,,,
S50A12-1,38,12,50,0,0.0,0.0,6,,29.9
S50A12-2,35,12,50,3,2.1,2.0,,3,
S50A12-3,32,12,50,6,4.1,4.2,,,
S56A12-1,32,12,56,0,0.0,0.0,5,,22.2
S56A12-2,29,12,56,3,2.0,1.9,,2,
S56A12-3,27,12,56,5,3.4,3.4,,,
S40A20-1,40,20,40,0,0.0,0.0,6,,22.2
S40A20-2,37,20,40,3,2.0,1.9,,3,
S40A20-3,34,20,40,6,3.9,3.5,,,
S38A26-1,36,26,38,0,0.0,0.0,5,,10.5
S38A26-2,34,26,38,2,1.3,1.1,,3,
S38A26-3,32,26,38,4,2.5,2.3,,1,
