Structural groups,Glass A,Glass B,Glass C,Glass D,Glass E,Glass F,Glass G
Tungsten groups,Tungsten groups,Tungsten groups,Tungsten groups,Tungsten groups,Tungsten groups,Tungsten groups,Tungsten groups
WO 4 (n4),-,413,415,432,426,420,416
WO 6,-,982,977,957,965,973,975
,,,,,,,
Phosphoryl groups PO4 3- and PO3 groups,Phosphoryl groups PO4 3- and PO3 groups,Phosphoryl groups PO4 3- and PO3 groups,Phosphoryl groups PO4 3- and PO3 groups,Phosphoryl groups PO4 3- and PO3 groups,Phosphoryl groups PO4 3- and PO3 groups,Phosphoryl groups PO4 3- and PO3 groups,Phosphoryl groups PO4 3- and PO3 groups
Asymmetric stretching,1019,1024,1027,1033,1031,1031,1031
PO 3,1111,1115,1118,1123,1120,1117,1114
,,,,,,,
Bending harmonics,Bending harmonics,Bending harmonics,Bending harmonics,Bending harmonics,Bending harmonics,Bending harmonics,Bending harmonics
O-P-O,500,498,495,485,490,478,470
OP-O,532,540,527,520,536,530,524
,,,,,,,
P-O-P stretching,715,718,720,727,725,723,722
P-O-P stretching,742,744,747,757,754,751,749
,,,,,,,
P-O-P bending,920,917,913,910,920,925,930
,,,,,,,
PO stretching,1313,1313,1313,1313,1313,1313,1313
