Growth temperature (degC),Thickness(A),Boron doping[BCl3]/[SiH4],Hydrogen dilution[H2]/[SiH4],oTO (cm)-1,GTO (cm)-1,ITA/ITO
365,2778,0.32,4,473.1+-1.9,72.9+-2.6,0.83+-0.17
365,3199,0.32,16,474.1+-1.9,68+-2.4,0.73+-0.15
365,3199,0.32,30,477.5+-1.9,68.4+-2.4,0.63+-0.13
365,3162,0.32,45,475.2+-1.9,66.8+-2.3,0.67+-0.13
365,2986,0.32,49,477.2+-1.9,65.2+-2.3,0.68+-0.14
275,3000,0.32,4,473.8+-1.9,76.8+-2.7,0.91+-0.18
275,3000,0.32,16,473.8+-1.9,73.3+-2.6,0.75+-0.15
275,3000,0.32,30,477.0+-1.9,67.3+-2.4,0.82+-0.16
275,3000,0.32,45,475.3+-1.9,66.7+-2.3,0.73+-0.15
275,3000,0.32,49,477.8+-1.9,68.9+-2.4,0.6+-0.12
365,1060,0.32,55,472.0+-1.7,74.4+-2.2,0.34+-0.02
365,1071,0.32,40,471.9+-1.7,81.9+-2.5,0.44+-0.03
365,1092,0.17,55,479.0+-1.7,69.3+-2.1,0.52+-0.04
365,1060,0.17,40,476.5+-1.7,74.4+-2.2,0.48+-0.03
