Sample number,Gd2O3    (mol%),Baseline glass target mole composition,Baseline glass target mole composition,Baseline glass target mole composition,Baseline glass target mole composition,Highest Gd2O3  (mol%) before crystallization
Sample number,Gd2O3    (mol%),B2O3,Al2O3,Na2O,SiO2,Highest Gd2O3  (mol%) before crystallization
B15Gd43,11.8+-0.1,15.00,5.00,20.00,60.00,11.3+-0.1
B15Gd48,14.0+-0.1,15.00,5.00,20.00,60.00,11.3+-0.1
B15Gd50,15.0+-0.1,15.00,5.00,20.00,60.00,11.3+-0.1
B0Gd30,6.9+-0.1,0.00,5.00,20.00,60.00,6.3+-0.1
B5Gd34,8.3+-0.1,5.00,5.00,20.00,60.00,7.9+-0.1
B10Gd38,9.7+-0.1,10.00,5.00,20.00,60.00,9.4+-0.1
B20Gd48,14.1+-0.1,20.00,5.00,20.00,60.00,13.6+-0.1
Na15Gd47,13.6+-0.1,15.00,5.00,15.00,60.00,12.0+-0.1
Na30Gd40,10.5+-0.1,15.00,5.00,30.00,60.00,10.1+-0.1
Al2Gd48,13.8+-0.1,15.00,2.00,20.00,60.00,13.3+-0.1
Al10Gd36,9.3+-0.1,15.00,10.00,20.00,60.00,8.9+-0.1
PA0Gd70,31.7+-0.1,15.00,25.00,0.00,60.00,25.3+-0.1
PA20Gd65,26.4+-0.1,15.00,20.00,5.00,60.00,21.1+-0.1
PA35Gd60,22.1+-0.1,15.00,16.25,8.75,60.00,17.0+-0.1
PA50Gd50,15.6+-0.1,15.00,12.50,12.50,60.00,10.6+-0.1
PA62.5Gd40,10.8+-0.1,15.00,9.37,15.63,60.00,8.9+-0.1
PA90Gd50,14.8+-0.1,15.00,2.50,22.50,60.00,11.6+-0.1
PA100Gd50,14.6+-0.1,15.00,0.00,25.00,60.00,12.7+-0.1
