,wt% SiO2,wt% Na2O,wt% Al2O3,wt% P2O5,Total,P2O5    a,NA  b
NAPS100:4,59.1,33.5,0.57,7.8,100.97,3.59,0.990
NAPS90:4,57.9,29,5.1,8.3,100.3,3.95,0.903
NAPS80:4,56,25.2,9.8,8.3,99.3,4.08,0.809
NAPS70:4,57.72(98),19.63(27),13.92(20),7.56(60),98.84,3.77,0.699
NAPS60:4,59.13(61),15.75(15),18.41(13),6.44(45),99.73,3.2,0.584
NAPS55:1,60.42(28),15.53(11),21.14(10),1.49(11),98.58,0.72,0.547
NAPS53:3,57.35(47),15.26(11),20.43(43),6.08(15),99.13,3.06,0.551
NAPS55:6,53.49(46),13.79(9),19.23(16),11.85(16),98.35,6.41,0.541
NAPS50:3,56.24(38),13.95(11),23.57(12),6.58(41),100.34,3.33,0.493
NAPS50:6,52.66(54),12.94(9),21.93(8),13.20(19),100.73,7.15,0.492
NAPS47:3,56.62(51),12.88(5),24.93(23),6.13(17),100.57,3.1,0.459
NAPS47:6,52.15(62),12.25(8),23.29(15),12.51(21),100.2,6.81,0.464
NAPS44:3,56.14(30),12.20(9),25.94(13),6.41(16),100.7,3.26,0.436
NAPS44:6,51.76(37),11.09(6),24.65(10),12.61(24),100.11,6.93,0.426
