T (K),r (g/cm3),T (K),r (g/cm3),T (K),r (g/cm3)
,NS-5La,,NS-10La,,NS-20La
1549,2.295 (2),1552,2.385 (3),1547,2.600 (7)
1502,2.305 (3),1503,2.397 (3),1499,2.616 (6)
1455,2.316 (1),1454,2.408 (2),1450,2.626 (6)
1408,2.323 (3),1406,2.420 (3),1402,2.638 (6)
1385,2.328 (3),1383,2.422 (3),1354,2.644 (5)
,,,,,
,NS-25La,,,,
1550,2.723 (11),,,,
1502,2.740 (5),,,,
1454,2.747 (5),,,,
1407,2.759 (10),,,,
1360,2.769 (10),,,,
,,,,,
,AD-5La,,AD-20La,,AD-30La
1825,2.677 (10),1825,2.913 (2),1835,3.043 (9)
1732,2.694 (7),1731,2.925 (7),1738,3.050 (11)
1641,2.710 (9),1638,2.950 (5),1641,3.086 (8)
1572,2.711 (13),1592,2.950 (11),1546,3.104 (6)
1549,2.719 (13),1546,2.980 (7),1499,3.115 (5)
