Oxide,Fly ash,Bottom ash,V1,V2,V3
SiO2,18.5,46.7,54.39,52.64,52.57
TiO2,1.56,0.77,0.58,0.61,0.82
Al2O3,7.37,6.86,5.41,12.13,9.07
Fe2O3,2.26,4.69,3.84,4.36,3.28
MgO,2.74,2.22,2.47,1.77,1.73
CaO,37.5,26.3,20.31,17.28,16.71
Na2O,2.93,4.62,8.17,5.88,8.78
K2O,2.03,0.888,1.12,1.06,1.62
ZnO,2.07,0.714,0.41,0.52,0.21
SO3,14.4,2.18,0.46,0.35,-
PbO,0.040,0.071,0.051,0.030,0.025
BaO,0.139,0.109,0.159,0.134,0.105
As2O3,nd,0.001,0.009,0.008,0.008
Cr2O3,0.091,0.074,0.096,0.047,0.055
CuO,0.091,0.281,0.198,0.098,0.175
NiO,0.013,0.011,0.006,0.004,0.005
LOI,8.4,11.0,-,-,-
