Sample,H,E,s,G,L,B,V S,V G,V m
,(+-0.2GPa),(+-1GPa),(+-0.01),(+-1GPa),(+-1GPa),(+-1GPa),(+-50m/s),(+-50m/s),(+-50m/s)
1-CAS,8.1,112,0.23,45,130,70,3980,6740,4400
1-CAS(0.5),8.0,107,0.22,44,124,65,3900,6550,4310
1-CAS(1),8.0,108,0.23,44,125,67,3910,6600,4330
1-CAS(2),8.1,110,0.23,45,127,67,3910,6690,4330
1-CAS(3),8.0,109,0.23,44,126,67,3890,6550,4300
1-CAS(5),7.8,109,0.23,44,127,69,3840,6540,4260
,,,,,,,,,
2-CAS,7.8,109,0.23,44,127,69,3900,6650,4330
2-CAS(0.5),8.2,111,0.23,45,128,69,3950,6650,4370
2-CAS(1),8.1,109,0.23,44,126,67,3910,6600,4330
2-CAS(2),8.1,110,0.23,45,128,68,3910,6600,4330
2-CAS(3),8.1,111,0.23,45,128,68,3910,6600,4330
2-CAS(5),8.2,111,0.23,45,128,68,3880,6650,4300
,,,,,,,,,
LSCA,8.3,110,0.23,45,126,66,3920,6570,4340
SiO2,5.7,73,0.17,31,78,37,3760,5970,4140
Phoshate,4.3,72,0.24,29,84,46,3270,5595,3630
