Aging time [d],Sizing,Distribution I,Distribution I,Distribution I,Distribution I,Distribution II,Distribution II,Distribution II,Distribution II
,,s 01 [MPa],m 1,R   1   2,n,s 02 [MPa],m 2,R   2   2,n
0,1,2464,9.7,0.97,50,-,-,-,-
0,2,2758,9.3,0.98,50,-,-,-,-
0,7,2540,11.0,0.95,50,-,-,-,-
0,9,2469,10.0,0.98,50,-,-,-,-
7,1,1958,42.0,0.88,45,1641,11.0,0.83,5
7,2,1841,51.0,0.97,46,1591,11.0,0.87,4
7,7,2313,26.0,0.97,42,1730,14.0,0.93,8
7,9,1855,30.0,0.94,41,1559,22.0,0.98,9
15,1,1512,33.0,0.84,42,1275,12.0,0.95,8
15,2,1483,34.0,0.97,50,-,-,-,-
15,7,2246,35.0,0.98,23,1760,10.0,0.96,27
15,9,1817,24.0,0.99,43,1431,22.0,0.83,7
