Sample no.,Composition (mol%),Composition (mol%),Composition (mol%),Composition (mol%)
,Eu2O3,SiO2,Al2O3,Na2O
Eu01,0.50,94.76,4.74,0.00
Eu02,1.00,94.29,4.71,0.00
Eu03,1.50,93.81,4.69,0.00
Eu04,2.00,93.33,4.67,0.00
Eu05,0.20,99.80,0.00,0.00
Eu06,0.20,90.73,4.54,4.54
Eu07,0.20,90.73,9.07,0.00
Eu08,0.20,90.73,0.00,9.07
Eu13,1.00,98.18,0.82,0.00
Eu14,1.00,97.06,1.94,0.00
Eu15,1.00,90.00,9.00,0.00
Eu16,1.00,79.20,19.80,0.00
Eu25,0.10,99.07,0.83,0.00
Eu26,0.10,97.94,1.96,0.00
Eu27,0.10,90.82,9.08,0.00
Eu28,0.10,79.92,19.98,0.00
Eu33,0.10,99.82,0.08,0.00
Eu34,0.10,99.76,0.14,0.00
Eu35,0.10,99.62,0.28,0.00
Eu36,0.10,99.07,0.83,0.00
