Series,P(N),9.81x10-2,0.245,0.491,0.981,1.96
SiO2,Load (g),10,25,50,100,200
,u (mm),0.71,1.11,1.60,2.22,nd
,u e (mm),0.32,0.48,0.73,1.06,nd
,u  p  (mm),0.39,0.62,0.86,1.15,nd
,2a (mm),4.97,7.70,11.1,15.5,nd
,H (GPa),8.40,8.24,7.96,8.13,nd
,g,0.84,0.84,0.87,0.87,nd
,,,,,,
SLS1,u (mm),0.84,1.34,1.86,nd,nd
,u e (mm),0.40,0.66,0.99,nd,nd
,u  p  (mm),0.44,0.67,0.97,nd,nd
,2a (mm),5.93,9.37,13.0,nd,nd
,H (GPa),5.58,5.67,5.77,nd,nd
,g,1.04,1.05,1.03,nd,nd
,,,,,,
SLS4,u (mm),0.85,1.31,1.89,nd,nd
,u e (mm),0.41,0.61,0.91,nd,nd
,u  p  (mm),0.44,0.70,0.98,nd,nd
,2a (mm),5.96,9.18,13.2,nd,nd
,H (GPa),5.52,5.81,5.61,nd,nd
,g,1.03,0.99,1.02,nd,nd
,,,,,,
Float glass,u (mm),0.83,1.33,2.00,2.49,nd
,u e (mm),0.35,0.62,0.91,1.13,nd
,u  p  (mm),0.48,0.71,1.09,1.36,nd
,2a (mm),5.77,9.15,13.0,17.7,nd
,H (GPa),5.90,5.86,5.80,6.25,nd
,g,1.07,1.03,1.02,0.98,nd
,,,,,,
GeSe4,u (mm),1.79,2.70,3.55,nd,nd
,u e (mm),0.98,1.45,1.97,nd,nd
,u  p  (mm),0.81,1.25,1.58,nd,nd
,2a (mm),12.5,18.9,24.8,nd,nd
,H (GPa),1.25,1.37,1.59,nd,nd
,g,1.08,1.02,0.96,nd,nd
,,,,,,
ZrCuAlNi,u (mm),0.93,1.44,1.96,2.66,3.70
,u e (mm),0.34,0.55,0.73,1.10,1.50
,u  p  (mm),0.60,0.88,1.23,1.56,2.20
,2a (mm),6.56,10.1,13.8,18.6,25.9
,H (GPa),4.56,4.93,5.18,5.65,5.85
,g,1.28,1.26,1.21,1.20,1.18
