Sample,Mossbauer parameters,Mossbauer parameters,Mossbauer parameters,Mossbauer parameters,Mossbauer parameters
,Fe(II),Fe(II),Fe(III),Fe(III),Fe(II)
,d,D,d,D,Frac.
A,1.22,2.14,0.38,0.94,0.19
B,1.22,2.14,0.37,0.93,0.16
C,1.17,2.20,0.38,0.93,0.19
D,1.25,2.12,0.38,0.88,0.11
E,-,-,0.37,0.90,0.00
F,1.24,2.17,0.40,0.92,0.34
G,1.25,2.14,0.40,0.88,0.34
H,1.24,2.13,0.40,0.90,0.28
J,1.25,2.09,0.41,0.89,0.32
K,1.26,2.02,0.38,0.89,0.32
L,1.24,1.99,0.39,0.83,0.29
M,1.18,2.26,0.42,0.89,0.27
N,1.18,2.24,0.42,0.90,0.25
P,1.23,2.11,0.38,0.93,0.11
Q,1.21,2.22,0.42,0.91,0.31
R,1.16,2.26,0.39,0.99,0.18
S,1.22,2.08,0.40,0.83,0.27
T,1.22,2.19,0.42,0.90,0.30
U,1.27,2.04,0.41,0.87,0.22
V,1.28,2.10,0.40,0.98,0.17
W,1.30,2.05,0.40,0.91,0.22
