Glass ID,Al2O3 (%),Y2O3 (%),La2O3 (%),SiO2 (%),ErO2 (%),YbO2 (%),T g (degC),T x (degC),T x - T g (degC)
71.5A-28.5L,71.5,,28.5,,,,840,951,111
62.5A-37.5L,62.5,,37.5,,,,843,927,84
55A-25L-20S,55,,25,20,,,845,1009,164
55A-15L-30S,55,,15,30,,,870,969,99
,,,,,,,,,
62.5A-37.5Y,62.5,37.5,,,,,869,917,48
55A-40Y-5S,55,40,,5,,,870,914,44
55A-35Y-10S,55,35,,10,,,874,931,57
55A-30Y-15S,55,30,,15,,,872,968,96
55A-25Y-20S,55,25,,20,,,874,985,111
55A-15Y-30S,55,15,,30,,,891,1004,113
,,,,,,,,,
60A-20Y-15L-5S,60,20,15,5,,,846,1010,164
65A-15Y-10L-10S,65,15,10,10,,,866,948,82
50A-10Y-25L-15S,50,10,25,15,,,848,1035,187
50A-10Y-20L-20S,50,10,20,20,,,848,1058,210
50A-10Y-10L-30S,50,10,10,30,,,870,999,129
,,,,,,,,,
45A-10Y-15L-20S,45,10,15,20,10,,861,1043,182
45A-15L-20S,45,,15,20,20,,854,1037,183
50A-13Y-15L-20S,50,13,15,20,,2,845,1019,174
55A-15Y-17L-10S,55,15,17,10,,3,839,1030,191
55A-12Y-17L-10S,55,12,17,10,,6,851,1030,179
