Hours,Co/Fe2O3 =1/0.7 Fe sites,d,D,e Q,G,"H in,","R,",S A/S B
Hours,Co/Fe2O3 =1/0.7 Fe sites,+-0.03 mm/s,+-0.03 mm/s,+-0.03 mm/s,+-0.03 mm/s,+-0.5T,+-0.05,
0,a-Fe2O3,0.38,-,0.19,0.28,51.6,1.00,-
,,,,,,,,
1,a-Fe2O3,0.38,-,0.19,0.42,51.2,0.64,-
1,Fe3+:CoFe2O4,0.36,-,0.04,~1.04,47.7,0.36,-
,,,,,,,,
5,a-Fe2O3,0.38,-,0.19,0.39,51.1,0.30,-
5,Fe3+:CoFe2O4,0.34,-,0.02,~1.08,46.6,0.48,-
5,Fe (paramag.) a,0.25,0.45,-,0.58,-,0.13,-
5,Fe (paramag.) b,1.14,0.60,-,0.70,-,0.09,
,,,,,,,,
15,a-Fe or Fe1-  x Co x,0.00,-,0.00,0.39,32.9,0.10,-
15,Fe (paramag.) a,0.32,0.49,-,0.58,-,0.47,-
15,Fe (paramag.) b,1.30,0.49,-,0.75,-,0.43,-
,,,,,,,,
25,a-Fe or Fe1-  x Co x,0.08,-,0.00,0.50,33.1,0.09,-
25,Fe (paramag.) a,0.35,0.39,-,0.97,-,0.59,-
25,Fe (paramag.) b,1.31,0.43,-,0.60,-,0.32,-
,,,,,,,,
30,a-Fe or Fe1-  x Co x,0.00,-,0.00,0.38,33.0,0.09,-
30,Fe (paramag.) a,0.25,0.41,-,0.57,-,0.43,-
30,Fe (paramag.) b,1.14,0.62,-,0.74,-,0.48,-
