Sample,Core,gfw   g,n,H2Owt.%,H2Omol%,Weightmg,r    kg/m3
sba dry,,62.83,3.005,0.01,0.03,25.24,2608(1)
sba-10,Top,62.07,3.005,0.50(19),1.72(65),24.79,2624(1)
sba-11,Calorimetry,61.39,3.005,0.95(19),3.24(65),36.95,2618(2)
sba-04,Calorimetry,59.86,3.005,2.00(19),6.64(63),31.17,2619(1)
sba-03,Calorimetry,58.59,3.005,2.92(19),9.49(62),23.21,2600(2)
sba-07,Calorimetry,57.47,3.005,3.76(27),11.99(86),41.97,2557(2)
sba-08,Top,56.10,3.004,4.83(17),15.04(53),25.62,2534(1)
sba-13,Center,55.47,3.004,5.34(17),16.44(52),23.95,2541(1)
sb dry,,60.27,2.897,0.01,0.03,37.48,2675(1)
sb-11,Calorimetry,59.40,2.899,0.63(16),2.08(53),38.14,2691(1)
sb-12,Calorimetry,58.48,2.901,1.31(16),4.25(52),32.20,2680(2)
sb-16,Calorimetry,57.60,2.903,1.98(15),6.33(48),38.43,2655(1)
sb-14,Calorimetry,56.29,2.907,3.02(16),9.43(50),47.96,2633(1)
sb-18,Bottom,55.40,2.909,3.76(16),11.56(49),14.80,2614(1)
sb-17,Bottom,54.35,2.911,4.65(16),14.03(48),23.78,2593(1)
fu18 dry,,65.46,3.042,0.01,0.04,31.66,2655(1)
fu18-04,Calorimetry,63.86,3.040,0.96(15),3.40(53),35.33,2654(2)
fu18-03,Calorimetry,63.36,3.040,1.27(16),4.47(56),34.02,2652(2)
fu18-07,Calorimetry,63.08,3.039,1.44(14),5.04(49),26.70,2652(1)
fu18-01,Calorimetry,62.03,3.039,2.11(16),7.26(55),31.97,2634(1)
fu18-09,Calorimetry,60.68,3.037,3.00(16),10.10(54),35.76,2622(3)
fu18-02,Calorimetry,60.61,3.037,3.05(16),10.26(54),32.67,2613(2)
fu18-05,Top,59.17,3.036,4.05(16),13.30(53),27.87,2592(1)
fu18-08,Calorimetry,58.11,3.035,4.81(17),15.51(55),49.42,2578(1)
fu06 dry,,63.46,2.908,0.01,0.04,29.49,2766(2)
fu06-07,Calorimetry,61.64,2.912,1.18(16),4.04(55),29.21,2762(1)
fu06-06,Calorimetry,61.25,2.913,1.44(16),4.89(54),40.66,2760(2)
fu06-03,Calorimetry,60.01,2.915,2.29(16),7.63(53),22.32,2741(2)
fu06-04,Calorimetry,59.43,2.916,2.70(15),8.90(49),20.50,2687(2)
fu06-05,Calorimetry,58.89,2.918,3.09(16),10.10(52),29.55,2739(4)
fu06-10,Calorimetry,58.87,2.918,3.10(20),10.13(65),34.21,2741(2)
