Sample code,s dc(o) (Om)-1 at 303K (+-0.5%),E dc (kJmol-1) (+-0.5%),s ac(o) (Om)-1 at 1kHz and 333K (+-0.5%),E ac (kJmol-1) at 1kHz (+-0.5%),t  s (s) at 363K (+-0.5%),e'(o) at 1kHz and 333K (+-0.5%)
Series A,Series A,Series A,Series A,Series A,Series A,Series A
A1,5.81x10-9,52.9,7.99x10-8,19.1,6.3x10-4,11.9
A2,1.29x10-8,52.1,9.99x10-8,18.0,3.2x10-4,12.3
A3,3.02x10-8,50.5,1.51x10-7,17.3,1.5x10-4,14.7
A4,1.56x10-8,51.1,1.07x10-7,17.6,3.2x10-4,12.2
,,,,,,
Series B,Series B,Series B,Series B,Series B,Series B,Series B
B1,5.11x10-9,55.4,7.11x10-8,17.2,5.0x10-4,11.2
B2,2.68x10-9,55.8,4.81x10-8,18.8,1.1x10-3,10.1
B3,5.69x10-10,56.1,2.47x10-8,21.4,5.4x10-3,9.7
B4,4.77x10-11,56.4,6.07x10-9,24.3,6.0x10-2,8.4
,,,,,,
Series C,Series C,Series C,Series C,Series C,Series C,Series C
C1,1.40x10-8,53.8,1.19x10-7,19.5,2.4x10-4,13.3
C2,9.07x10-8,50.7,2.71x10-7,19.2,4.3x10-5,18.6
C3,6.82x10-7,47.0,5.65x10-7,18.2,7.7x10-6,27.4
