T (degC),Leaching time (days),Amount (at. cm-2),Amount (at. cm-2),Amount (at. cm-2),Depth (nm),Depth (nm),Depth (nm)
T (degC),Leaching time (days),Sr,Na,H,Sr,Na,H
,Blank (dried for 15 h),1.3,,0,14,,0
20,1,4.4,12,15,27,27,27
20,2,5.0,10,14,28,28,28
20,3,10,21,18,43,43,43
40,1,14,30,25,62,62,62
40,2,21,55,26.5,80,80,80
40,3,33,88,52,125,125,125
60,1 (series 1),17,42,28.0,63,63,91
60,1 (series 2),15,41,14,56,84,84
60,2 (series 1),18,42,32,64,64,92
60,2 (series 2),33,87,35,142,142,142
60,3 (series 1),26,66,34,92,92,110
60,6 (series 2),47,110,42,256,214,256
80,0.625,0,0,0,0,0,0
80,1,0,9,0,0,84,0
80,1 (series 2),11,42,11,87,87,87
80,2,0.7,,0,10,,0
