Glass,Z,S,T n,T c (degC),Time (h)
LG254,1.0,0.5,620,1000,"1,3,5"
LG254,1.0,0.5,620,1100,"1,3,5"
LG254,1.0,0.5,620,1125,"1,3,5"
LG254,1.0,0.5,620,1150,"1,3"
LG254,1.0,0.5,620,1175,"1,3"
LG254,1.0,0.5,620,1200,"1,3"
,,,,,
LG253,1.0,1.0,575,1075,1
LG253,1.0,1.0,575,1100,1
LG253,1.0,1.0,575,1125,"1,3,5"
LG253,1.0,1.0,575,1150,"1,3"
LG253,1.0,1.0,575,1175,"1,3"
,,,,,
LG255,0,0.5,600,1050,"1,3,5"
LG255,0,0.5,600,1125,"1,3,5"
LG255,0,0.5,600,1150,"1,3"
LG255,0,0.5,600,1200,"1,3"
,,,,,
LG256,0,1.0,550,1075,1
LG256,0,1.0,550,1100,1
LG256,0,1.0,550,1125,"1,3,5"
LG256,0,1.0,550,1150,"1,3,5"
LG256,0,1.0,550,1175,"1,3"
LG256,0,1.0,550,1200,1
