Physical Characteristics,Materials,Materials,Materials,Materials
Physical Characteristics,OPC,OGP,FGP,1year old GP
Density,3.15+-0.00,2.56+-0.01,2.56+-0.01,2.56+-0.01
Blaine fineness (m2/kg),382+-2,437+-1,433+-2,435+-1
,,,,
Chemical composition (wt.%),Chemical composition (wt.%),Chemical composition (wt.%),Chemical composition (wt.%),Chemical composition (wt.%)
SiO2,20.43,72.38,72.27,72.11
Al2O3,4.71,1.22,1.13,1.15
CaO,62.39,11.10,11.26,11.31
MgO,1.81,1.03,1.3,1.06
SO3,3.53,-,-,-
K2O,0.950,0.605,0.642,0.589
Na2O,0.180,13.03,13.01,13.65
Loss on Ignition (LOI),2.51,0.481,0.343,0.412
Na2Oeq,0.805,13.42,13.43,14.04
