Glass type,Fragment,HV,c/a,CR,r,APF,B
,,(GPa),(-),(N),(gcm-3),(%),(mm-0.5)
Soda-lime,H1,5.0 (1),3.1 (2),1.51 (5),2.492 (2),49.82 (5),7.4 (2)
Soda-lime,H2,5.0 (1),3.3 (4),1.89 (5),2.468 (2),49.50 (5),8.1 (4)
Soda-lime,M2,5.3 (2),3.3 (2),0.92 (5),2.501 (2),49.81 (5),8.1 (2)
Soda-lime,R2,-,-,-,2.433 (2),48.90 (5),-
Soda-ash,M1,5.6 (2),3.7 (2),1.17 (5),2.534 (2),50.24 (5),9.6 (2)
Soda-ash,R1,5.5 (1),3.2 (2),1.35 (5),2.530 (2),50.34 (5),7.7 (2)
Soda-ash,R3,5.1 (1),2.9 (3),1.54 (5),2.484 (2),49.70 (5),6.7 (3)
Soda-ash,R4,5.2 (2),3.7 (3),1.65 (5),2.493 (2),49.81 (5),9.6 (3)
Wood-ash,N1,5.6 (2),3.8 (4),1.19 (5),2.618 (2),51.42 (5),10.0 (4)
Wood-ash,Bru15,5.0 (1),3.2 (2),0.42 (5),2.685 (2),53.39 (5),7.7 (2)
Wood-ash,Bru16,5.1 (1),3.8 (3),0.35 (5),2.700 (2),53.59 (5),10.0 (3)
Wood-ash,Bru19,5.2 (1),3.6 (2),0.36 (5),2.689 (2),53.44 (5),9.2 (2)
Wood-ash,Mz9,5.5 (1),3.5 (2),0.69 (5),2.624 (2),52.20 (5),8.8 (2)
