Sample ID,D,Composition (wt%),Composition (wt%),Composition (wt%),Composition (wt%),Composition (wt%),Composition (wt%),Composition (wt%),Composition (wt%),Composition (wt%)
Sample ID,D,P2O5,Fe2O3,Na2O,Al2O3,CaO,CeO2,Nd2O3,Bi2O3,SiO2
TFB20-40,-,52.4,30.1,12.2,2.2,-,0.7,1.1,0.9,0.7
TFB20-40,-,51.0,33.7,10.9,0.3,-,0.9,1.2,1.3,0.2
,,,,,,,,,,
Corroded TFB20-40,0,51.0,22.7,19.4,3.0,-,0.5,0.9,1.7,0.8
Corroded TFB20-40,3,51.4,29.7,12.8,2.2,-,0.9,1.1,1.3,0.6
Corroded TFB20-40,7,51.2,29.8,13.7,2.0,-,0.9,0.7,1.1,0.5
Corroded TFB20-40,12,52.8,30.0,12.2,1.8,-,0.5,1.1,0.7,0.8
Corroded TFB20-40,10,51.3,30.0,12.6,2.6,-,0.8,1.1,0.9,0.8
Corroded TFB20-40,40,52.2,30.2,11.8,2.3,-,0.7,1.0,1.1,0.6
,,,,,,,,,,
TFB30-35F10,-,45.4,24.5,16.4,0.4,7.0,1.3,1.9,2.0,0.2
TFB30-35F10,-,45.3,22.9,16.3,6.5,4.4,1.2,1.5,1.5,0.4
,,,,,,,,,,
Corroded TBF30-35F10,0,44.0,22.5,17.4,6.9,4.5,1.5,1.1,1.4,0.5
Corroded TBF30-35F10,3,45.9,21.4,18.0,6.1,4.6,1.1,0.9,1.4,0.6
Corroded TBF30-35F10,7,45.9,20.3,18.5,6.0,4.5,1.2,1.0,2.2,0.3
Corroded TBF30-35F10,12,46.0,20.7,18.3,6.2,4.6,1.3,1.2,1.3,0.4
Corroded TBF30-35F10,20,46.0,20.9,16.7,6.7,4.6,1.1,1.6,2.1,0.4
Corroded TBF30-35F10,40,46.5,21.8,17.1,5.8,4.7,1.2,1.2,1.2,0.4
