Specie,D f  Hdeg (kJmol-1),,
H+ (aq),0.00,,
OH- (aq),-230.02,,
H2O(liq),-285.83,,
SiO2(cr),-910.70,,
SiO2(am),,,
H4SiO4(aq),-1456.96,,
SiO(OH)3 - (aq),-1431.36,,
Al2O3(cr),-1675.70,,
Al3+ (aq),-538.40,,
Al(OH)3(sol),-1283.26,,
Al(OH)4 - (aq),-1488.08,,
B2O3(cr),-1273.50,,
H3BO3(aq),-1072.80,,
H3BO3(sol),-1094.80,,
Na2O(cr),-417.25,,
Na+ (aq),-240.34,,
NaOH(sol),,,
Li2O(cr),-594.48,,
Li+ (aq),-278.47,,
CaO(cr),-634.92,,
Ca2+ (aq),-543.00,,
Ca(OH)2(sol),-986.50,,
FeO(cr),-267.27,,
Fe2O3(cr),-824.78,,
Fe2+ (aq),-89.10,,
Fe3+ (aq),-48.50,,
Fe(OH)2(sol),-569.20,,
Fe(OH)3(sol),-823.30,,
MoO3(cr),-745.40,,
MoO2(cr),-589.20,,
MoO4 2- (aq),-997.90,,
