x,Bond,N e,N OBN,N BN,Bond,N e,N OBN,N RBN
0.21,Ge-Ge,0,0,1.4,Se-Ge,0.9 +- 0.4,1.05,0.7
,Ge-Se,4.5 +- 0.3,4,2.6,Se-Se,1.2 +- 0.4,0.95,1.3
0.29,Ge-Ge,0,0,1.75,Se-Ge,1.6 +- 0.2,1.65,0.8
,Ge-Se,4.3 +- 0.2,4,2.25,Se-Se,0.3 +- 0.4,0.35,1.2
0.32,Ge-Ge,0.2 +- 0.4,0,1.9,Se-Ge,1.7 +- 0.2,1.9,0.95
,Ge-Se,3.7 +- 0.5,4,2.1,Se-Se,0.3 +- 0.4,0.1,1.05
0.47,Ge-Ge,2.2 +- 0.2,1.75,2.5,Se-Ge,2.0 +- 0.1,2,1.25
,Ge-Se,2.2 +- 0.3,2.25,1.5,Se-Se,0,0,0.75
0.49,Ge-Ge,2.7 +- 0.4,1.9,2.6,Se-Ge,1.3 +- 0.4,2,1.3
,Ge-Se,1.1 +- 0.3,2.1,1.4,Se-Se,0.4 +- 0.2,0,0.7
0.57,Ge-Ge,2.4 +- 0.2,2.5,2.9,Se-Ge,1.6 +- 0.3,2,1.45
,Ge-Se,1.2 +- 0.2,1.5,1.1,Se-Se,0.3 +- 0.2,0,0.55
0.66,Ge-Ge,3.2 +- 0.4,3.0,3.2,Se-Ge,1.8 +- 0.2,2,1.6
,Ge-Se,1.0 +- 0.2,1.0,0.8,Se-Se,0.4 +- 0.3,0,0.4
0.73,Ge-Ge,3.7 +- 0.3,2.25,3.4,Se-Ge,1.8 +- 0.1,2,1.7
,Ge-Se,0.6 +- 0.3,0.75,0.6,Se-Se,0.1 +- 0.2,0,0.3
0.91,Ge-Ge,4.1 +- 0.4,3.8,3.8,Se-Ge,1.7 +- 0.4,2,1.9
,Ge-Se,0.2 +- 0.2,0.2,0.2,Se-Se,0.1 +- 0.2,0,0.1
1.00,Ge-Ge,3.6 +- 0.5,4,4,Se-Ge,,,
,Ge-Se,0,0,0,Se-Se,,,
