Glass,T g (degC),T  x1(s) (degC),DT TS (K),T  x1 (degC),T  x2 (degC),T liq (degC),T g/T liq (K/K)
NaAlP,405+-1,483+-2,78,504+-1,607+-2,741+-1,0.669
NaAlP-Fe1,437+-1,510+-3,73,551+-7,601+-1,777+-1,0.668
NaAlP-Fe2,442+-1,513+-0,71,564+-2,593+-1,782+-1,0.678
NaAlP-Fe3,443+-2,522+-13,76,537+-1,563+-3,830+-11,0.649
NaAlP-Fe4,445+-3,514+-2,69,539+-2,No peak,860+-4,0.634
NaAlP-FeB,462+-1,564+-1,102,589+-2,No peak,817+-1,0.674
NaAlP-B1,427+-1,503+-0,76,541+-4,640+-1,747+-1,0.686
NaAlP-B2,428+-1,507+-4,79,558+-2,663+-3,740+-4,0.692
NaAlP-B3,428+-1,525+-2,97,551+-2,663+-5,742+-2,0.691
NaAlP-B4,427+-3,526+-6,99,550+-8,No peak,742+-5,0.690
NaAlP-B5,433+-2,545+-0,112,573+-3,No peak,734+-3,0.707
NaAlP-B6,441+-1,567+-3,126,587+-2,No peak,690,0.74
