Frequency regions in cm-1,x=30,x=30,x=40,x=40,x=45,x=45,x=50,x=50
Frequency regions in cm-1,PC,I,PC,I,PC,I,PC,I
458-488,458,16.4,462,17.4,473,33.4,488,17.9
500-543,500,4.7,516,10.9,534,7.4,543,9.1
630-681,681,13.2,680,1.0,630,0.3,666,1.5
715-730,725,4.1,716,6.6,721,3.1,728,13.7
785-830,830,1.2,800,2.7,795,0.8,785,2.3
898-908,908,2.2,905,5.9,900,6,898,11.79
935-960,935,16.2,938,7.1,958,2.2,-,-
1005-1030,1022,24.8,1028,14.2,1030,10.7,1026,8.34
1100-1130,-,-,1130,6.0,1109,5.7,1099,11.3
1194-1210,1209,3.1,1216,1.0,1194,1.4,-,-
1270-1297,1297,4.5,1297,9.6,1283,12.8,1270,17.8
1306-1341,1330,5.2,1341,13.4,1330,15.2,1306,4.0
