,B5,B10,B15,B20,Na10,Na15,Na30,Al2
SiO2,66.67,63.16,60.00,57.14,66.67,63.16,54.55,61.86
Al2O3,5.56,5.26,5.00,4.76,5.56,5.26,4.55,2.06
B2O3,5.56,10.53,15.00,19.05,16.67,15.79,13.64,15.46
Na2O,22.22,21.05,20.00,19.05,11.11,15.79,27.27,20.62
,,,,,,,,
,Al10,Al15,PL0.30,PL0.35,PL0.40,PL0.45,PL0.50,PL0.55
SiO2,57.14,54.55,60.00,60.00,60.00,60.00,60.00,60.00
Al2O3,9.52,13.64,17.50,16.25,15.00,13.75,12.50,11.25
B2O3,14.29,13.64,15.00,15.05,15.00,15.00,15.00,15.00
Na2O,19.05,18.18,7.50,8.75,10.00,11.25,12.50,13.75
,,,,,,,,
,PL0.60,PL0.65,PL0.70,PL0.75,PL0.80,PL0.85,PL0.95,NaSi
SiO2,60.00,60.00,60.00,60.0,60.00,60.00,60.00,66.67
Al2O3,10.00,8.75,7.50,6.25,5.00,3.75,1.25,0
B2O3,15.00,15.00,15.00,15.00,15.00,15.00,15.00,0
Na2O,15.00,16.25,17.50,18.75,20.00,21.25,23.75,33.33
,,,,,,,,
,Re,Ab/Re,B-Ne,Ns,NaDB,,,
SiO2,75.00,75.00,50.00,50.00,0,,,
Al2O3,0,6.25,0,0,0,,,
B2O3,12.50,6.25,25.00,0,66.67,,,
Na2O,12.50,12.50,25.00,50.00,33.33,,,
