,Ln,Si,Al,O,N,Tg (DTA)
Menke et al.  [20],Menke et al.  [20],Menke et al.  [20],Menke et al.  [20],Menke et al.  [20],Menke et al.  [20],Menke et al.  [20]
La,35,45,20,83,17,891
Ce,35,45,20,83,17,871
Eu,35,45,20,83,17,809
Gd,35,45,20,83,17,934
Dy,35,45,20,83,17,926
Y,35,45,20,83,17,953
Er,35,45,20,83,17,956
Yb,35,45,20,83,17,896
,,,,,,
Present work,Present work,Present work,Present work,Present work,Present work,Present work
Y,25,18,56,94,6,948
La,25,18,56,94,6,896
Nd,25,18,56,94,6,888
Sm,25,18,56,94,6,920
