Glass,Na2O,Network modifiers,Network modifiers,Fe2O3,Network formers,Network formers,MnO,SrO,Other oxides
HLWMS-8 (target),3.00,CaO,0.00,0.00,Al2O3,0.00,13.60,29.90,2.00
HLWMS-8 (target),,Li2O,6.00,,B2O3,12.00,,,
HLWMS-8 (target),,K2O,0.00,,SiO2,33.50,,,
HLWMS-8 (target),,MgO,0.00,,,,,,
,,,,,,,,,
HLWMS-11 (target),1.00,CaO,0.00,0.00,Al2O3,5.00,13.60,29.90,7.00
HLWMS-11 (target),,Li2O,3.50,,B2O3,10.00,,,
HLWMS-11 (target),,K2O,0.00,,SiO2,30.00,,,
HLWMS-11 (target),,MgO,0.00,,,,,,
,,,,,,,,,
HLWMS-2 (target),3.40,CaO,0.00,0.00,Al2O3,0.00,13.00,28.60,3.00
HLWMS-2 (target),,Li2O,6.00,,B2O3,11.00,,,
HLWMS-2 (target),,K2O,0.00,,SiO2,35.00,,,
HLWMS-2 (target),,MgO,0.00,,,,,,
,,,,,,,,,
HLWMS-12 (target),1.00,CaO,0.00,,Al2O3,11.20,9.60,21.10,7.00
HLWMS-12 (target),,Li2O,3.50,,B2O3,10.00,,,
HLWMS-12 (target),,K2O,0.00,,SiO2,36.60,,,
HLWMS-12 (target),,MgO,0.00,,,,,,
,,,,,,,,,
HLWMS-15,1.28,CaO,0.29,0.18,Al2O3,12.05,9.52,19.03,4.67
HLWMS-15,,Li2O,3.28,,B2O3,9.99,,,
HLWMS-15,,K2O,0.04,,SiO2,37.06,,,
HLWMS-15,,MgO,0.03,,,,,,
,,,,,,,,,
HLW98-31,5.68,CaO,0.29,9.64,Al2O3,7.40,3.63,2.19,7.43
HLW98-31,,Li2O,5.20,,B2O3,9.50,,,
HLW98-31,,K2O,0.24,,SiO2,44.34,,,
HLW98-31,,MgO,0.05,,,,,,
,,,,,,,,,
HLW98-32A,3.42,CaO,0.29,10.14,Al2O3,11.70,1.44,2.26,5.82
HLW98-32A,,Li2O,6.34,,B2O3,9.00,,,
HLW98-32A,,K2O,0.11,,SiO2,43.53,,,
HLW98-32A,,MgO,0.10,,,,,,
,,,,,,,,,
HLW98-02 (target),13.47,CaO,1.01,12.07,Al2O3,11.06,1.01,2.71,8.07
HLW98-02 (target),,Li2O,2.01,,B2O3,10.96,,,
HLW98-02 (target),,K2O,0.44,,SiO2,33.18,,,
HLW98-02 (target),,MgO,1.01,,,,,,
,,,,,,,,,
HLW98-24,6.42,CaO,0.32,10.56,Al2O3,6.68,0.38,1.16,8.41
HLW98-24,,Li2O,5.52,,B2O3,11.33,,,
HLW98-24,,K2O,0.36,,SiO2,45.16,,,
HLW98-24,,MgO,0.10,,,,,,
