T m (K),"ln A, A in (J/m6 K)",DH v (J/m3),K (J2 K m)-6,s * ph 1/3 (J/m2),"s (Eq. (15), a=0.4) (J/m2)","s (Eq. (15), a=0.4) (J/m2)",ph(th),ph(th),th (grad),th (grad)
T m (K),"ln A, A in (J/m6 K)",DH v (J/m3),K (J2 K m)-6,s * ph 1/3 (J/m2),M=0.292,M=0.585,M=0.292,M=0.585,M=0.292,M=0.585
DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m,DG=DH mDT/T m
1423,67.7,751x106,1.011x1021,0.094,0.172,0.217,0.161,0.081,61,49
1590,87.8,839x106,3.827x1021,0.146,0.192,0.242,0.440,0.219,85,67
,,,,,,,,,,
DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2,DG=DH m TDT/T m 2
1423,84.8,751x106,9.293x1020,0.091,0.172,0.217,0.148,0.074,59,48
1590,163.4,839x106,4.478x1021,0.154,0.192,0.242,0.516,0.258,91,75
,,,,,,,,,,
DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m,DG=DH mDT/T -DC p(T m) DT 2/2T m
1423,73.3,751x106,9.356x1020,0.091,0.172,0.217,0.148,0.074,59,48
1590,104.0,839x106,3.591x1021,0.143,0.192,0.242,0.413,0.206,83,65
