Glass ID,T (degC),Fe,Ni,Cr,Mn,Al,Mg,Si,Na,Zr,Zn,Method,Ref.,Comments
MS-4 glass,1080,0.42,0.24,0.27,0.02,0.01,0.01,0.01,0.02,0.00,-,EDS,[31],
MS-4 glass,1041,0.49,0.27,0.17,0.01,0.01,0.01,0.01,0.02,-,-,EDS,[31],
MS-4 glass,1000,0.55,0.29,0.10,0.01,0.01,0.01,0.01,0.01,0.00,-,EDS,[31],
MS-4 glass,950,0.57,0.30,0.08,0.01,0.01,0.01,0.01,0.02,0.00,-,EDS,[31],
,,,,,,,,,,,,,,
MS-7 glass,1076,0.36,0.13,0.51,-,-,-,-,-,-,-,EDS,[26],
MS-7 feed,992r,0.87,0.07,0.02,0.04,-,-,-,-,-,-,EDS,[26],0.4 degC/min ramp
MS-7 feed,878r,0.88,0.04,0.01,0.07,-,-,-,-,-,-,EDS,[26],4 degC/min ramp
MS-7 feed,1040r,0.69,0.28,0.01,0.03,-,-,-,-,-,-,EDS,[26],14 degC/min ramp
MS-7 CO2,1181,0.33,0.12,0.48,-,0.01,0.02,0.02,0.02,0.00,-,EDS,[18],CO2 gas
MS-7 O2,1025,0.32,0.19,0.10,0.01,0.05,0.01,0.21,0.11,0.01,-,EDS,[18],"O2 gas Si, Na, and Zr may be from glass inclusion"
MS-7 O2,986,0.34,0.19,0.06,0.01,0.05,0.01,0.18,0.16,0.01,-,EDS,[18],"O2 gas Si, Na, and Zr may be from glass inclusion"
MS-7 O2,837,0.49,0.29,0.05,0.01,0.02,0.01,0.10,0.04,0.00,-,EDS,[18],"O2 gas Si, Na, and Zr may be from glass inclusion"
,,,,,,,,,,,,,,
SP-Si-1,1101,0.71,0.21,0.06,0.02,-,-,-,-,-,,EDS,[15],38 mass% SiO2 in melt
SP-1,997,0.58,0.25,0.15,0.02,-,-,-,-,-,-,EDS,[15],46 mass% SiO2 in melt
SP-Si-3,1010,0.35,0.18,0.46,0.02,-,-,-,-,-,-,EDS,[15],60 mass% SiO2 in melt
,,,,,,,,,,,,,,
SS-A,1050,0.40,0.20,0.29,0.01,0.02,-,0.07,-,-,-,XRF,[25],
SS-A,1050,0.43,0.27,0.25,0.01,0.01,0.01,0.01,-,-,-,EDS,[25],
SS-A2,1050,0.40,0.25,0.28,0.01,0.02,0.04,0.01,-,-,-,EDS,[25],
SRL 165,800-900,0.53,0.28,0.13,0.05,-,-,-,-,-,-,EMP,[33],
SRL 165,800-900,0.61,0.32,0.05,0.02,-,-,-,-,-,-,EMP,[33],Reduced
Sludge-Duratek,~1150,0.59,0.04,0.02,0.25,0.02,0.01,-,-,-,0.07,EDS,[35],
