Ln,Colour,M,r  i,CFS,"T g,DIL",T ds,a,T gDTA,r,E
Ln,Colour,(g/mol),(A),(A-2),(degC),(degC),(10-6xdegC-1),(degC),(g/cm3),(GPa)
La,Green-brown,138.91,1.172,2.18,871,904,7.6,891,4.46,124
Ce,Grey,140.12,1.15,2.27,916,971,6.4,871,4.56,122
Eu,Red-brown,151.96,1.31,1.17,755,797,9.5,809,4.76,92
Gd,Grey,157.25,1.078,2.58,918,963,7.8,934,5.38,147
Dy,Grey,162.50,1.052,2.71,911,964,7.9,926,5.48,146
Y,Grey,88.91,1.04,2.77,925,990,7.4,953,3.97,148
Er,Pink-wine,167.26,1.03,2.83,904,957,7.3,956,5.67,160
Yb,Brown,173.04,1.008,2.95,876,910,7.2,896,5.76,151
