T (K),loge
NS 4,
703.3,14.50
717.9,13.75
726.4,13.32
727.0,13.29
740.1,12.58
753.5,11.98
760.8,11.63
774.3,11.05
787.7,10.58
801.4,10.08
815.2,9.56
815.8,9.54
823.7,9.33
828.1,9.20
836.0,8.98
,
Ca 0.39,
1085.7,14.41
1092.2,13.98
1109.1,12.67
1109.9,12.65
1119.6,11.96
1128.9,11.35
1148.5,10.23
1154.6,9.92
1165.7,9.45
,
Ca 42.14,
1029.2,14.20
1029.4,14.12
1038.2,13.55
1046.1,13.07
1047.2,13.03
1049.2,12.82
1064.7,12.06
1072.0,11.61
1084.7,11.08
1084.9,10.92
1100.7,10.31
1100.8,10.17
1113.2,9.78
1113.5,9.65
1120.6,9.42
