Glass,Concentration in mol%,Concentration in mol%,Concentration in mol%,Concentration in mol%,Concentration in mol%
Glass,P2O5,CaO,MgO,Na2O,TiO2
A4,50.6+-2.2,21.1+-0.3,2.2+-0.6,23.0+-0.5,3.0+-0.1
A5,51.3+-2.2,20.3+-0.3,1.7+-0.5,23.9+-0.4,2.8+-0.1
B3,48.1+-2.1,25.8+-0.3,4.1+-0.6,19.4+-0.5,2.6+-0.1
B4,48.1+-2.0,23.0+-0.3,3.7+-0.6,22.5+-0.5,2.7+-0.1
B7,46.3+-2.0,22.3+-0.3,4.2+-0.6,25.6+-0.5,1.6+-0.1
B7,46.0+-2.0,19.0+-0.3,3.9+-0.6,29.5+-0.5,1.6+-0.1
B8,45.1+-1.9,23.2+-0.2,4.1+-0.5,26.0+-0.4,1.6+-0.1
B9,44.9+-1.9,20.5+-0.3,4.3+-0.6,28.8+-0.4,1.5+-0.1
B10,45.5+-2.0,18.5+-0.3,9.8+-0.5,24.1+-0.4,2.2+-0.1
B11,44.5+-1.9,16.3+-0.3,8.9+-0.6,28.2+-0.5,2.0+-0.1
B12,46.1+-2.0,19.4+-0.2,8.1+-0.5,24.2+-0.4,2.1+-0.1
B13,45.2+-2.0,16.7+-0.2,8.0+-0.5,28.1+-0.4,2.0+-0.1
C3,37.7+-1.6,29.1+-0.2,9.7+-0.5,23.5+-0.4,n/a
C4,36.9+-0.7,29.4+-0.2,10.1+-0.1,23.6+-0.3,n/a
C8,36.9+-0.8,29.4+-0.2,9.9+-0.1,22.7+-0.3,1.1+-0.1
C11,35.7+-1.5,28.3+-0.3,9.4+-0.6,20.9+-0.5,5.7+-0.1
