Site,Name (Country),T [degC],RH [%],c(SO2) [mg/m3],c(NO2) [mg/m3],c(O3) [mg/m3],mm [mm],pH
1 (u),Prague-Letnany (CZ),9.8,74.6,13.9,23.2,48.9,1407,4.8
3 (i),Kopisty (CZ),9.7,76.4,17.4,30.5,55.0,1323,4.5
5 (r),Ahtari (FIN),3.0,78.9,0.7,2.9,61.5,1998,4.7
7 (r),Waldhof-Langenbrugge (GER),9.5,79.9,1.5,8.6,52.4,1854,5.1
9 (r),Langenfeld-Reusrath (GER),11.1,79.6,7.6,32.4,33.6,2635,4.9
10 (i),Bottrop (GER),11.5,81.1,21.3,36.0,31.2,2834,4.9
15 (u),Milan (ITA),14.3,69.7,15.0,79.1,38.1,2923,-
21 (u),Oslo (NOR),6.7,76.3,4.2,30.8,38.1,2229,4.7
23 (r),Birkenes (NOR),6.1,81.0,0.2,1.4,56.6,5032,4.5
24 (u),Stockholm South (SWE),7.3,76.3,2.7,19.6,47.5,1346,4.7
26 (r),Aspvreten (SWE),6.0,84.3,0.6,2.6,57.7,1264,4.6
27 (u),Lincoln Cathedral (GB),10.0,80.5,8.9,21.1,50.4,2149,-
31 (u),Madrid (SPA),14.3,57.5,7.4,21.5,54.3,1443,6.2
33 (r),Toledo (SPA),14.0,58.0,1.9,10.5,84.9,1563,5.9
34 (u),Moscow (RUS),5.2,71.3,25.4,24.4,42.5,2136,6.6
35 (r),Lahemaa (EST),5.7,80.2,1.3,1.5,59.8,2140,4.9
36 (u),Lisbon-Jeronimos Monastery (POR),17.4,65.9,19.0,36.0,13.4,618,6.1
40 (u),Paris (FRA),13.3,68.5,12.2,57.9,32.0,1827,5.7
41 (u),Berlin (GER),10.5,75.8,9.6,41.1,24.6,1407,-
43 (u),Tel Aviv (ISR),24.2,80.5,35.2,34.3,38.4,1254,-
44 (r),Svanvik (NOR),-0.8,78.7,7.1,1.4,56.9,1257,4.8
45 (r),Chaumont (CH),6.5,78.7,1.2,7.8,84.4,3242,5.0
46 (u),London (GB),12.3,70.6,6.8,47.6,35.4,1938,-
49 (u),Antwerp (BEL),11.7,75.7,18.7,50.0,29.1,2841,5.0
