PbI2,Sb2S3,As2S3,Bi2S3,T g (degC),T x (degC),DT (degC)
-,-,100,-,195,-,-
40,60,-,-,184,288,104
40,50,10,-,175,285,110
40,40,20,-,174,-,
40,30,30,-,169,-,
40,20,40,-,160,No,-
50,40,10,-,160,276,116
50,30,20,-,153,226,73
33,33,33,-,186,292,106
45,-,45,10,146,213,67
-,45,45,10,208,296,88
-,-,90,10,192,278,86
20,35,35,10,201,321,120
30,30,30,10,192,313,121
40,25,25,10,180,189,109
50,40,-,10,170,248,78
-,-,80,20,194,251,58
15,30,35,20,200,280,80
35,30,15,20,203,278,69
40,-,30,30,169,221,52
23.3,23.3,23.3,30,204,248,44
