Sample,Heat-treatment condition (degC/h),Diameter of BaF2 NCs (nm),Peak wavelength of first absorption band (+-2nm),Diameter of PbSe QDs (nm),Peak wavelength of PL band (nm),FWHM of PL bands (nm)
S1,As-prepared,-,-,-,-,-
S2,520/10,10.5,717,2.4+-0.6,1072,231+-4
S3,520/20,11.2,744,2.5+-0.6,1054,226+-4
S4,540/10,20.2,1007,3.5+-0.5,1169.6+-0.3,243+-4
S5,540/20,18.5,1098,3.8+-0.4,1219.3+-0.2,241+-4
S6,550/10,20.0,1039,3.6+-0.4,1208.1+-0.3,240+-4
S7,550/20,21.3,1100,3.9+-0.5,1244.6+-0.3,256+-4
S8,560/10,27.1,1479 (1309),5.5+-0.4 (4.8+-0.2),"1505.0+-0.7, 1287.5+-1.8",223+-4
S9,560/20,31.0,1653 (1470),6.4+-0.4 (5.5+-0.4),"1700.7+-0.3, 1409.0+-0.7",321+-4
S10,570/10,32.6,1648 (1463),6.4+-0.4 (5.5+-0.3),"1661.5+-0.5, 1397.1+-1.2",318+-4
S11,570/20,31.6,1677 (1496),6.5+-0.4 (5.6+-0.3),"1696.7+-0.3, 1412.8+-0.5",354+-4
S12,540/10+570/20,34.3,1777 (1663),7.1+-0.4 (6.4+-0.7),"1641.8+-0.8, 1401.2+-0.6",480+-4
S13,540/20+570/20,32.0,1814 (1661),7.3+-0.6 (6.4+-0.4),"1702.8+-1.6, 1469.4+-1.1",478+-4
S14,550/10+570/20,32.2,1800 (1687),7.2+-0.4 (6.6+-0.3),"1760.4+-1.0, 1483.1+-0.9",501+-4
S15,550/20+570/20,35.0,1835 (1709),7.4+-0.4 (6.7+-0.3),"1761.8+-0.6, 1474.3+-0.6",487+-4
S16,560/10+570/20,39.2,1925 (1767),7.9+-0.5 (7.0+-0.5),"1821.6+-1.0, 1553.7+-0.3",413+-4
S17,560/20+57020,44.0,1977 (1839),8.2+-0.5 (7.4+-0.4),"1882.9+-1.0, 1568.5+-0.5",421+-4
