Sample,Apparent density (gcm-3),Skeletal density (gcm-3),Surface area (m2 g-1),Porosity (%),Shrinkage (%),Thermal conductivity (Wm-1 K-1)
Novolac aerogel,0.231+-0.002,1.180+-0.002,33,80.42+-0.05,0.0,0.236+-0.005
Silica xerogel,0.335+-0.002,2.200+-0.002,304,78.00+-0.05,43.0+-0.2,-
N18Si2,0.174+-0.002,1.209+-0.002,318,85.61+-0.05,9.0+-0.2,0.156+-0.005
N16Si4,0.208+-0.002,1.284+-0.002,330,83.80+-0.05,11.0+-0.2,0.113+-0.005
N14Si6,0.231+-0.002,1.370+-0.002,323,87.22+-0.05,13.0+-0.2,0.071+-0.005
N12Si8,0.250+-0.002,1.449+-0.002,370,87.50+-0.05,17.0+-0.2,0.062+-0.005
N10Si10,0.273+-0.002,1.536+-0.002,310,82.22+-0.05,24.0+-0.2,0.059+-0.005
N10Si10-800,0.241+-0.002,1.893+-0.002,374,87.00+-0.05,38.0+-0.2,0.058+-0.005
N10Si10-1500,0.296+-0.002,2.033+-0.002,366,85.00+-0.05,42.1+-0.2,0.121+-0.005
Pure carbon aerogel,0.313+-0.002,1.798+-0.002,582,82.60+-0.05,19.0+-0.2,0.380+-0.005
