Polyvalent ion,Diffusion coefficients (cm2 s-1),Diffusion coefficients (cm2 s-1),Diffusion coefficients (cm2 s-1),Diffusion coefficients (cm2 s-1)
,Melt A,Melt B,Na2O*2SiO2,15Na2O*85SiO2
Fe3+,2.5x10-7,3.8x10-8,4.7x10-6,9.6x10-6
Cu+,5x10-8,5.4x10-8,2.1x10-6,3.6x10-6
Cr3+,4.3x10-8,3.1x10-8,5.3x10-6,8.5x10-6
V4+,1.1x10-8,1.3x10-7,2.3x10-5,2.1x10-6
Sb3+,3.5x10-9,9.7x10-9,2.9x10-8,7.3x10-8
V5+,3.4x10-9,1.3x10-8,1.9x10-7,5.3x10-8
As5+,1.6x10-9,6.6x10-8,3.7x10-7,1.3x10-8
As3+,1.4x10-12,6.6x10-10,1.6x10-6,5.5x10-11
