References,[12],[12],[12],[12],[12],[12],[12],[12]
Alumina level,Low,Low,ASTM,ASTM,ASTM,High,High,High
SiO2 (wt%),65.00,65.00,62.00,60.00,59.00,58.00,57.50,55.00
Al2O3 (wt%),5.00,9.00,14.50,15.00,16.00,16.50,17.00,22.30
CaO (RO) (wt%),30.00,26.00,23.50,25.00,25.00,25.50,25.50,22.70
SiO2/RO ratio,2.17,2.50,2.64,2.40,2.36,2.27,2.25,2.42
Log3 forming T (degC),1231,1290,1327,1294,1293,1284,1284,1343
Liquidus T (degC),1390,1336,1188,1235,1267,1285,1294,1350
Delta (D)T (degC),-159,-46,139,59,26,-1,-10,-7
ASTM E-glass,-,-,+,+,+,-,-,-
