ID,Gd2O3,[B2O3]ex,Gd2O3/(1/3[B2O3]ex),Agglomeration
Al15,0.00,9.09,,No
Al15Gd10,2.03,8.91,0.68,<5 nm
Al15Gd13,2.71,8.84,0.92,10 nm
Al15Gd14,2.94,8.82,1.00,10 nm
Al15Gd28,6.75,8.48,2.39,20 nm
,,,,
PA50,0.00,15.00,,No
PA50Gd1,0.19,14.97,0.04,No
PA50Gd5,0.96,14.86,0.19,No
PA50Gd6,1.17,14.83,0.24,20 nm
PA50Gd10,2.01,14.70,0.41,20 nm
PA50Gd30,7.34,13.90,1.58,>50 nm
PA50Gd50,15.60,12.66,3.70,>50 nm
,,,,
PA35,0.00,15.00,,No
PA35Gd10,2.06,15.38,0.40,No
PA35Gd20,4.51,15.83,0.86,No
PA35Gd25,5.93,16.09,1.11,20 nm
PA35Gd28,6.85,16.26,1.26,20 nm
PA35Gd30,7.49,16.37,1.37,>50 nm
