Archaeological find,Sample,Color,SiO2,CaO,Na2O,K2O,Al2O3,MgO,FeO,MnO,TiO2,Cr2O3,TOT
Worked glass,US2-3,Green,60.87,11.54,12.41,2.35,5.31,4.98,0.98,0.27,0.12,0.00,98.83
Worked glass,US5-3,Yellow-green,60.13,11.08,13.98,2.32,4.81,5.89,1.55,0.23,0.15,0.03,100.15
Worked glass,US5-1,Green,61.61,10.64,13.72,2.35,4.84,5.88,1.12,0.19,0.17,0.00,100.52
Worked glass,US1-2,Colorless,74.80,7.95,15.33,0.33,0.24,0.26,0.04,0.37,0.04,0.00,99.36
Worked glass,US1-1,Green,63.35,10.16,13.87,2.23,4.66,4.83,0.86,0.14,0.12,0.02,100.10
Worked glass,US1-3,Green,71.07,11.99,10.56,1.37,4.83,0.89,0.68,0.29,0.14,0.01,100.47
Worked glass,US3-2,Green,60.25,12.97,11.62,2.51,4.22,5.52,1.51,0.08,0.13,0.00,98.79
Cutting,US108-31,Green,62.23,10.57,13.60,2.63,4.88,5.06,1.09,0.15,0.13,0.01,100.35
Collars,VGR5-32,Green,65.64,8.24,10.87,3.86,5.86,3.73,1.48,0.19,0.21,0.01,100.10
Dripping,VGRH-27,Colorless,67.35,6.04,13.94,5.22,4.34,1.87,0.36,0.61,0.25,0.00,99.98
Dripping,VGRH-29,Yellow-green,61.18,11.07,12.41,2.08,4.81,5.99,1.15,0.19,0.41,0.04,99.33
Dripping,US2-30,Yellow-green,61.19,11.02,12.99,2.09,4.67,5.53,1.18,0.17,0.13,0.01,98.98
Vitreous mass,F-VGR-34,Green,66.26,8.85,12.34,3.48,4.68,3.81,0.80,0.13,0.12,0.00,100.47
