Transition 4I9/2 -,"PKMAFN (Peak position, nm)",PKMAFN,PKMAFN,PKMABFN,PKMABFN,PKBN [3],CSPN [6],PKBAN [4]
Transition 4I9/2 -,"PKMAFN (Peak position, nm)",f exp,f cal,f exp,f cal,f exp,f exp,f exp
4F3/2,869,2.87,2.69,3.05,2.99,1.82,2.06,3.96
"4F5/2, 2H9/2",799,8.63,9.15,7.90,9.25,6.76,7.51,10.98
"4F7/2, 4S3/2",739,10.01,9.74,10.33,9.43,6.63,7.29,12.44
4F9/2,684,0.80,0.74,0.94,0.73,0.75,0.50,0.95
2H11/2,625,0.29,0.21,0.40,0.20,-,0.12,0.19
"4G5/2, 2G7/2",576,28.31,28.33,28.79,28.84,15.68,19.00,35.17
4G7/2,523,4.88,4.57,5.62,4.86,4.30,6.27,6.26
4G9/2,510,4.00,2.63,4.49,2.70,4.30,6.27,4.97
"2G9/2,2D3/2, 2K15/2",469,2.16,1.58,2.29,1.67,4.57,1.42,2.52
"2P1/2,2D5/2",429,0.47,0.75,0.67,0.86,2.00,0.50,0.92
"4D3/2,4D1/2",352,12.30,12.38,14.71,14.13,10.02,8.67,16.27
"O 2,x10-20 cm2",,7.66,7.66,7.34,7.34,3.28,4.80,9.23
"O 4,x10-20 cm2",,5.15,5.15,5.97,5.97,3.54,3.20,7.00
"O 6,x10-20 cm2",,6.99,6.99,6.69,6.69,4.67,5.15,8.74
kh = O 4/O 6,,0.73,0.73,0.89,0.89,0.76,0.62,0.80
"t R (4F3/2), ms",,273,273,262,262,430,340,214
s (N),,+-0.50 (11),+-0.50 (11),+-0.81 (11),+-0.81 (11),+-2.2 (8),+-0.3 (12),+-1.69 (11)
