Sample designation,Composition of the initial glass Li2O*Al2O3 *SiO2 +nucleator TiO2 (mol%),Unit-cell volume V of the b-quartz ss (A3),Calculation,Derived from experiment,Derived from experiment
Sample designation,Composition of the initial glass Li2O*Al2O3 *SiO2 +nucleator TiO2 (mol%),Unit-cell volume V of the b-quartz ss (A3),SiO2 content in b-quartz ss   (mol%),"SiO2 content (from XRD study, from V), mol%","SiO2 content (from Raman spectroscopy study, from n 2), mol%"
b-quartz,0 0 100,121.3,100,-,-
I,12*15*73+7,126.9,75.3,75.5,75.0
II,12*20*68+7,127.3,74.0,74.0,74.5
III,12*24*64+7,127.3,73.0,74.0,74.5
,,,,,
g-spodumene,16.7*16.7*66.6,128.8,66.6,-,-
IV,18*27*55+6,130.1,60.5,62.5,65.0
V,22.4*33.5*44.1+4.5,131.9,50.0,54.5,59.0
b-eucryptite,25*25*50,133.1,50.0,-,-
